Time,Light
2777,74
2778,72
2779,74
2780,72
2781,73
2782,72
2783,74
2784,71
2785,73
2786,71
2787,73
2788,72
2789,73
2790,72
2791,74
2792,71
2793,74
2794,72
2795,74
2796,72
2797,74
2798,72
2799,346
2800,71
2801,346
2802,72
2803,74
2804,71
2805,346
2806,72
2807,346
2808,71
2809,346
2810,71
2811,346
2812,72
2813,346
2814,72
2815,346
2816,72
2817,346
2818,72
2819,346
2820,72
2821,346
2822,72
2823,70
2824,72
2825,70
2826,72
2827,70
2828,72
2829,70
2830,71
2831,70
2832,72
2833,69
2834,72
2835,70
2836,72
2837,70
2838,72
2839,70
2840,72
2841,70
2842,72
2843,70
2844,73
2845,70
2846,72
2847,71
2848,346
2849,70
2850,72
2851,70
2852,346
2853,70
2854,346
2855,71
2856,346
2857,70
2858,346
2859,70
2860,346
2861,71
2862,346
2863,70
2864,346
2865,71
2866,346
2867,71
2868,346
2869,71
2870,346
2871,71
2872,69
2873,71
2874,346
2875,71
2876,70
2877,72
2878,69
2879,71
2880,70
2881,71
2882,70
2883,71
2884,70
2885,72
2886,71
2887,71
2888,69
2889,72
2890,70
2891,72
2892,69
2893,72
2894,70
2895,72
2896,70
2897,72
2898,70
2899,72
2900,70
2901,346
2902,70
2903,346
2904,70
2905,346
2906,70
2907,73
2908,70
2909,346
2910,71
2911,346
2912,71
2913,346
2914,71
2915,346
2916,71
2917,346
2918,71
2919,346
2920,72
2921,70
2922,72
2923,346
2924,71
2925,70
2926,71
2927,70
2928,71
2929,69
2930,72
2931,70
2932,71
2933,70
2934,71
2935,71
2936,72
2937,70
2938,72
2939,70
2940,72
2941,70
2942,71
2943,70
2944,72
2945,71
2946,73
2947,70
2948,73
2949,71
2950,73
2951,70
2952,346
2953,71
2954,346
2955,71
2956,346
2957,71
2958,346
2959,71
2960,346
2961,71
2962,346
2963,71
2964,346
2965,71
2966,346
2967,71
2968,346
2969,72
2970,346
2971,71
2972,346
2973,71
2974,70
2975,72
2976,346
2977,72
2978,346
2979,72
2980,70
2981,73
2982,71
2983,73
2984,71
2985,73
2986,71
2987,73
2988,71
2989,73
2990,70
2991,73
2992,71
2993,74
