Time,Light,Avg
18640,846,832
18655,794,832
18671,865,832
18687,837,833
18702,811,833
18718,863,832
18733,822,832
18749,828,832
18765,859,830
18780,791,832
18796,846,831
18811,856,832
18827,764,832
18843,865,831
18858,850,832
18874,775,832
18889,866,831
18905,842,832
18921,789,831
18936,863,830
18952,831,831
18967,804,831
18983,860,828
18999,812,829
19014,821,828
19030,858,826
19045,772,827
19061,839,827
19077,853,827
19092,757,827
19108,860,826
19123,847,827
19139,771,827
19155,865,826
19170,840,827
19186,786,826
19201,863,826
19217,829,826
19233,803,826
19248,860,825
19264,812,825
19280,820,825
19295,857,824
19311,778,825
19326,842,825
19342,854,826
19357,762,826
19373,864,826
19389,850,827
19404,776,827
19420,866,827
19435,844,828
19451,792,828
19467,864,827
19482,836,829
19498,810,829
19513,862,828
19529,822,829
19545,829,829
19560,861,828
19576,795,829
19591,848,829
19607,857,830
19623,767,831
19638,864,831
19654,852,832
19669,779,832
19685,867,831
19701,846,832
19716,795,832
19732,865,832
19747,837,833
19763,810,833
19779,863,831
19794,821,832
19810,827,832
19825,859,830
19841,791,831
19857,845,831
19872,856,831
19888,763,831
19903,865,831
19919,850,831
19935,774,831
19950,865,831
19966,842,831
19981,789,831
19997,863,830
